"month","day","hour","week","alloc_1","alloc_2"
1,29,13,TRUE,0.0171928650729543,0.982807134927046
1,29,14,TRUE,0.237156344620896,0.762843655379104
1,29,15,TRUE,0.0430895050013399,0.95691049499866
1,29,16,TRUE,0.383334444644348,0.616665555355652
1,29,17,TRUE,0.280155261511107,0.719844738488893
1,29,18,TRUE,0,0
1,29,19,TRUE,0,0
1,29,20,TRUE,0,0
1,29,21,TRUE,0,0
1,29,22,TRUE,0,0
1,29,23,TRUE,0,0
1,30,0,TRUE,0,0
1,30,1,TRUE,0,0
1,30,2,TRUE,0,0
1,30,3,TRUE,0,0
1,30,4,TRUE,0,0
1,30,5,TRUE,0,0
1,30,6,TRUE,0,0
1,30,7,TRUE,0,0
1,30,8,TRUE,0.15074020605512,0.84925979394488
1,30,9,TRUE,0.378564930181946,0.621435069818054
1,30,10,TRUE,0.257515355432217,0.742484644567783
1,30,11,TRUE,0.290387670709699,0.709612329290301
1,30,12,TRUE,0.00712085488356058,0.992879145116439
1,30,13,TRUE,0.0171928650729543,0.982807134927046
1,30,14,TRUE,0.237156344620896,0.762843655379104
1,30,15,TRUE,0.0430895050013399,0.95691049499866
1,30,16,TRUE,0.383334444644348,0.616665555355652
1,30,17,TRUE,0.280155261511107,0.719844738488893
1,30,18,TRUE,0,0
1,30,19,TRUE,0,0
1,30,20,TRUE,0,0
1,30,21,TRUE,0,0
1,30,22,TRUE,0,0
1,30,23,TRUE,0,0
1,31,0,TRUE,0,0
1,31,1,TRUE,0,0
1,31,2,TRUE,0,0
1,31,3,TRUE,0,0
1,31,4,TRUE,0,0
1,31,5,TRUE,0,0
1,31,6,TRUE,0,0
1,31,7,TRUE,0,0
1,31,8,TRUE,0.15074020605512,0.84925979394488
1,31,9,TRUE,0.378564930181946,0.621435069818054
1,31,10,TRUE,0.257515355432217,0.742484644567783
1,31,11,TRUE,0.290387670709699,0.709612329290301
1,31,12,TRUE,0.00712085488356058,0.992879145116439
1,31,13,TRUE,0.0171928650729543,0.982807134927046
1,31,14,TRUE,0.237156344620896,0.762843655379104
1,31,15,TRUE,0.0430895050013399,0.95691049499866
1,31,16,TRUE,0.383334444644348,0.616665555355652
1,31,17,TRUE,0.280155261511107,0.719844738488893
1,31,18,TRUE,0,0
1,31,19,TRUE,0,0
1,31,20,TRUE,0,0
1,31,21,TRUE,0,0
1,31,22,TRUE,0,0
1,31,23,TRUE,0,0
2,1,0,FALSE,0,0
2,1,1,FALSE,0,0
2,1,2,FALSE,0,0
2,1,3,FALSE,0,0
2,1,4,FALSE,0,0
2,1,5,FALSE,0,0
2,1,6,FALSE,0,0
2,1,7,FALSE,0,0
2,1,8,FALSE,0.0761625882138366,0.923837411786163
2,1,9,FALSE,0.2294513733888,0.7705486266112
2,1,10,FALSE,0.00588962627753796,0.994110373722462
2,1,11,FALSE,0.373374599398299,0.626625400601701
2,1,12,FALSE,0.252654688085366,0.747345311914634
2,1,13,FALSE,0.00637772776543659,0.993622272234563
2,1,14,FALSE,0.0382185896969237,0.961781410303076
2,1,15,FALSE,0.172231519261051,0.827768480738949
2,1,16,FALSE,0.178629921033209,0.821370078966791
2,1,17,FALSE,0.549364510139237,0.450635489860763
2,1,18,FALSE,0,0
2,1,19,FALSE,0,0
2,1,20,FALSE,0,0
2,1,21,FALSE,0,0
2,1,22,FALSE,0,0
2,1,23,FALSE,0,0
2,2,0,FALSE,0,0
2,2,1,FALSE,0,0
2,2,2,FALSE,0,0
2,2,3,FALSE,0,0
2,2,4,FALSE,0,0
2,2,5,FALSE,0,0
2,2,6,FALSE,0,0
2,2,7,FALSE,0,0
2,2,8,FALSE,0.0761625882138366,0.923837411786163
2,2,9,FALSE,0.2294513733888,0.7705486266112
2,2,10,FALSE,0.00588962627753796,0.994110373722462
2,2,11,FALSE,0.373374599398299,0.626625400601701
2,2,12,FALSE,0.252654688085366,0.747345311914634
2,2,13,FALSE,0.00637772776543659,0.993622272234563
2,2,14,FALSE,0.0382185896969237,0.961781410303076
2,2,15,FALSE,0.172231519261051,0.827768480738949
2,2,16,FALSE,0.178629921033209,0.821370078966791
2,2,17,FALSE,0.549364510139237,0.450635489860763
2,2,18,FALSE,0,0
2,2,19,FALSE,0,0
2,2,20,FALSE,0,0
2,2,21,FALSE,0,0
2,2,22,FALSE,0,0
2,2,23,FALSE,0,0
